"filename", "language", "TypeScript", "Handlebars", "comment", "blank", "total"
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\modules\users\services\CreateUserService.spec.ts", "TypeScript", 39, 0, 0, 9, 48
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\modules\users\services\CreateUserService.ts", "TypeScript", 33, 0, 1, 12, 46
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\modules\users\services\ResetPasswordService.spec.ts", "TypeScript", 74, 0, 3, 20, 97
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\modules\users\services\ResetPasswordService.ts", "TypeScript", 38, 0, 2, 16, 56
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\modules\users\services\SendForgottenPasswordEmailService.spec.ts", "TypeScript", 52, 0, 0, 15, 67
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\modules\users\services\SendForgottenPasswordEmailService.ts", "TypeScript", 48, 0, 2, 13, 63
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\modules\users\services\ShowProfileService.spec.ts", "TypeScript", 30, 0, 0, 8, 38
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\modules\users\services\ShowProfileService.ts", "TypeScript", 22, 0, 1, 9, 32
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\modules\users\services\UpdateProfileService.spec.ts", "TypeScript", 105, 0, 0, 19, 124
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\modules\users\services\UpdateProfileService.ts", "TypeScript", 56, 0, 1, 16, 73
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\modules\users\services\UpdateUserAvatarService.spec.ts", "TypeScript", 55, 0, 0, 14, 69
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\modules\users\services\UpdateUserAvatarService.ts", "TypeScript", 32, 0, 1, 14, 47
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\modules\users\views\forgotPassword.hbs", "Handlebars", 0, 19, 0, 3, 22
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\shared\container\index.ts", "TypeScript", 21, 0, 0, 8, 29
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\shared\container\providers\index.ts", "TypeScript", 19, 0, 0, 7, 26
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\shared\container\providers\mailProvider\dtos\ISendMailDTO.ts", "TypeScript", 11, 0, 0, 3, 14
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\shared\container\providers\mailProvider\fakes\fakeMailProvider.ts", "TypeScript", 8, 0, 0, 3, 11
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\shared\container\providers\mailProvider\implementations\EtherealMailProvider.ts", "TypeScript", 47, 0, 0, 7, 54
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\shared\container\providers\mailProvider\models\IMailProvider.ts", "TypeScript", 4, 0, 0, 2, 6
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\shared\container\providers\mailTemplateProvider\dtos\IParseMailTemplateDTO.ts", "TypeScript", 7, 0, 0, 2, 9
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\shared\container\providers\mailTemplateProvider\fakes\FakeMailTemplateProvider.ts", "TypeScript", 7, 0, 0, 3, 10
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\shared\container\providers\mailTemplateProvider\implementations\HandlebarsMailTemplateProvider.ts", "TypeScript", 17, 0, 0, 6, 23
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\shared\container\providers\mailTemplateProvider\models\IMailTemplateProvider.ts", "TypeScript", 4, 0, 0, 2, 6
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\shared\container\providers\storageProvider\fakes\FakeStorageProvider.ts", "TypeScript", 15, 0, 0, 7, 22
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\shared\container\providers\storageProvider\implementations\DiskStorageProvider.ts", "TypeScript", 23, 0, 0, 7, 30
